	location	variant	parent	median_ga_delta	ga_delta_upper_80	ga_delta_lower_80
30	USA	BA.2.3.10	BA.2.3	0.9976892	1.0111595	0.9867748
31	USA	BA.2.3.14	BA.2.3	1.0150034	1.0316831	1.0024371
32	USA	BA.2.3.17	BA.2.3	0.9747879	0.97886235	0.9707926
33	USA	BA.2.3.2	BA.2.3	1.1468654	1.1607823	1.1324575
34	USA	BA.2.3.20	BA.2.3	4.028536	4.0770965	3.9825478
35	USA	BA.2.3.4	BA.2.3	0.9859063	0.9937012	0.9768159
36	USA	BA.2.3.6	BA.2.3	1.0832137	1.0914489	1.0737913
37	USA	BA.2.31	BA.2	1.0447621	1.0520041	1.0367495
38	USA	BA.2.32	BA.2	0.97967917	0.9879788	0.97174245
39	USA	BA.2.36	BA.2	1.1798711	1.1895578	1.1724656
40	USA	BA.2.37	BA.2	0.99950325	1.0053948	0.9933438
41	USA	BA.2.38	BA.2	1.4265833	1.4374756	1.4142319
42	USA	BA.2.40.1	BA.2	1.2025244	1.2174692	1.1885102
43	USA	BA.2.41	BA.2	1.1936162	1.2046573	1.1804707
44	USA	BA.2.47	BA.2	1.1195964	1.1356843	1.1080419
45	USA	BA.2.48	BA.2	1.1848474	1.1896738	1.1790216
46	USA	BA.2.5	BA.2	0.9827571	1.0021092	0.9689765
47	USA	BA.2.52	BA.2	1.3033588	1.3211892	1.2852926
48	USA	BA.2.56	BA.2	1.3421773	1.3580998	1.3306382
49	USA	BA.2.59	BA.2	1.1170461	1.1284977	1.1065717
50	USA	BA.2.6	BA.2	1.0082304	1.0186027	0.9986469
51	USA	BA.2.65	BA.2	1.0846817	1.0892719	1.0799508
52	USA	BA.2.7	BA.2	0.92842054	0.931049	0.92545277
53	USA	BA.2.72	BA.2	1.1328874	1.1437663	1.1227764
54	USA	BA.2.73	BA.2	1.020989	1.0289038	1.0146767
55	USA	BA.2.75	BA.2	2.802486	2.8111944	2.7956917
56	USA	BA.2.75.1	BA.2.75	1.0007136	1.0047748	0.996677
57	USA	BA.2.75.2	BA.2.75	1.0838687	1.0866946	1.080593
58	USA	BA.2.75.5	BA.2.75	1.0799849	1.0841917	1.0764111
59	USA	BA.2.76	BA.2	1.7545965	1.7681698	1.7403588
60	USA	BA.2.8	BA.2	1.0275445	1.0396283	1.0134989
61	USA	BA.2.9	BA.2	1.0115278	1.0128306	1.0100634
62	USA	BA.2.9.2	BA.2.9	0.8279413	0.83374137	0.82231826
63	USA	BA.2.9.3	BA.2.9	1.2211313	1.2379045	1.2089771
64	USA	BA.4	BA.2	1.7866275	1.786789	1.7864776
65	USA	BA.4.1	BA.4	0.9861781	0.9864049	0.9859368
66	USA	BA.4.1.1	BA.4.1	0.98851967	0.9915075	0.9857835
67	USA	BA.4.1.6	BA.4.1	0.9824184	0.98573536	0.9792126
68	USA	BA.4.1.8	BA.4.1	1.2331061	1.2368968	1.2295711
69	USA	BA.4.1.9	BA.4.1	1.3111329	1.3194124	1.3002117
70	USA	BA.4.2	BA.4	0.99276716	0.9944854	0.99166995
71	USA	BA.4.3	BA.4	0.99879956	1.00257	0.99412566
72	USA	BA.4.4	BA.4	0.99550796	0.99670756	0.99409586
73	USA	BA.4.6	BA.4	1.2423987	1.2426256	1.2421521
74	USA	BA.5	BA.2	2.1940284	2.1942923	2.1938477
75	USA	BA.5.1	BA.5	1.0060682	1.0061957	1.0059505
76	USA	BA.5.1.1	BA.5.1	0.96092975	0.9616938	0.9602092
77	USA	BA.5.1.10	BA.5.1	1.0261736	1.0270736	1.0252852
78	USA	BA.5.1.12	BA.5.1	1.1426201	1.1474527	1.1377575
79	USA	BA.5.1.18	BA.5.1	1.1646807	1.1685536	1.1614463
